126,202
127,215
129,161
131,179
132,133
133,132
133,138
134,42
135,198
137,169
137,194
138,62
138,133
139,89
139,171
139,213
141,206
142,155
142,216
143,3
144,160
144,150
145,182
146,215
147,153
147,185
147,205
148,42
148,216
149,208
150,144
150,151
151,150
153,147
153,220
153,224
155,142
156,76
157,176
158,221
160,165
160,144
161,129
161,223
164,187
164,218
165,160
166,36
166,224
167,67
167,219
167,208
167,217
168,199
169,137
171,178
171,139
173,175
173,185
175,173
176,157
178,171
178,189
179,131
182,145
183,209
183,218
184,210
185,147
185,173
185,189
185,210
186,222
187,164
189,178
189,185
194,137
194,8
195,198
198,195
198,8
198,135
198,201
199,168
199,222
200,8
201,198
202,207
202,126
205,215
205,147
206,141
207,202
208,167
208,149
209,183
210,185
210,184
211,218
213,222
213,139
215,146
215,127
215,205
216,148
216,142
217,167
218,211
218,183
218,164
219,167
219,224
220,153
221,158
222,213
222,186
222,199
223,161
224,219
224,166
224,153
